Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
lCPeT2vH,ECUADOR,2025,Liga Pro 2025,ECUADOR 1,13/12/2025,17:30,Placement Group,Macara,Dep. Cuenca,0,1,[],[40],bet365,3.4,2.1,3.4,bet365,2.65,2.95,2.65,bet365,1.44,2.63,bet365,3.25,1.33,bet365,9.0,1.07,bet365,1.07,9.0,bet365,1.33,3.25,bet365,2.1,1.7,bet365,3.75,1.25,bet365,8.0,1.08,bet365,1.83,1.83,bet365,1.44,1.36,1.44,bet365,8.5,bet365,8.0,bet365,13.0,bet365,26.0,bet365,8.0,bet365,6.0,bet365,11.0,bet365,23.0,bet365,13.0,bet365,11.0,bet365,15.0,bet365,34.0,bet365,26.0,bet365,23.0,bet365,34.0,bet365,51.0,1xBet,11.5,1.01,1xBet,10.0,1.02,bet365,5.75,1.14,bet365,4.5,1.19,bet365,2.68,1.45,bet365,1.45,2.68,bet365,1.19,4.5,bet365,1.14,5.75,1xBet,1.01,11.0,,0.0,0.0,BetEsporte,26.0,11.0,1.02,Estrelabet,12.0,6.0,1.11,bet365,5.5,4.33,1.5,bet365,1.44,4.33,5.5,Estrelabet,1.08,6.66,13.0,BetEsporte,1.02,11.0,28.0,0.77,0.32,0.3,0.01,0.75,0.41,0.01,0.3,0.01,0.3,0.48,0.52,0.78,0.78,0.54,0.5,0.65,0.66,0.0,0.0,0.12,0.3,13.0,7.0,5.0,1.0,6.0,5.0,2.0,1.0,5.0,3.0,8.0,4.0,0.0,0.0,0.0,0.0,15.0,13.0,4.0,2.0,15.0,12.0,16.0,20.0,12.0,15.0,2.0,4.0,,,0.0,6.0,1.0,5.0,0.56,0.67,39.0,42.0,21.0,15.0,8.0,4.0,0.0,0.0,0.0,0.0,0.2,0.26,0.02,0.0,0.11,0.25,0.41,0.59,6.0,4.0,1.0,0.0,4.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,8.0,0.0,2.0,0.0,1.0,0.57,0.06,0.28,0.01,0.64,0.16,0.56,0.44,7.0,3.0,4.0,1.0,2.0,2.0,0.0,0.0,3.0,1.0,2.0,3.0,,,8.0,7.0,0.0,4.0,1.0,4.0
MTDFruqS,ECUADOR,2025,Liga Pro 2025,ECUADOR 1,10/12/2025,19:00,Championship Group,Ind. del Valle,LDU Quito,0,0,[],[],bet365,3.0,2.1,3.6,bet365,2.32,3.05,3.05,bet365,1.4,2.75,bet365,3.0,1.36,bet365,8.0,1.08,bet365,1.07,9.0,bet365,1.3,3.4,bet365,2.05,1.75,bet365,3.5,1.29,bet365,7.0,1.1,bet365,1.8,1.91,bet365,1.36,1.36,1.53,bet365,9.0,bet365,9.5,bet365,15.0,bet365,34.0,bet365,8.0,bet365,6.0,bet365,12.0,bet365,26.0,bet365,11.0,bet365,9.5,bet365,13.0,bet365,34.0,bet365,23.0,bet365,19.0,bet365,29.0,bet365,51.0,1xBet,11.0,1.01,1xBet,10.1,1.03,bet365,4.65,1.18,bet365,3.8,1.25,bet365,2.35,1.58,bet365,1.38,3.0,bet365,1.15,5.5,bet365,1.11,6.6,1xBet,1.01,11.0,,0.0,0.0,BetEsporte,24.0,10.0,1.03,Estrelabet,12.0,6.0,1.11,bet365,4.75,4.0,1.53,Estrelabet,1.4,4.0,5.33,Estrelabet,1.1,6.33,12.0,BetEsporte,1.02,11.0,28.0,1.21,0.57,0.52,0.34,0.78,0.49,0.34,0.52,0.34,0.52,0.52,0.48,0.84,0.81,0.43,0.45,0.72,0.58,0.0,0.0,0.19,0.25,20.0,10.0,4.0,3.0,8.0,6.0,8.0,1.0,10.0,5.0,10.0,5.0,1.0,0.0,1.0,0.0,18.0,18.0,8.0,3.0,15.0,11.0,18.0,26.0,11.0,15.0,4.0,3.0,,,2.0,1.0,3.0,4.0,0.71,0.65,45.0,37.0,19.0,24.0,6.0,9.0,0.0,0.0,0.0,0.0,0.78,0.29,0.48,0.12,0.39,0.2,0.57,0.43,10.0,6.0,3.0,2.0,4.0,4.0,1.0,0.0,4.0,1.0,2.0,2.0,5.0,8.0,2.0,0.0,2.0,3.0,0.43,0.28,0.04,0.22,0.39,0.29,0.48,0.52,10.0,4.0,1.0,1.0,4.0,2.0,0.0,0.0,4.0,2.0,2.0,1.0,,,6.0,7.0,0.0,1.0,1.0,1.0
0xEuXpuh,ECUADOR,2025,Liga Pro 2025,ECUADOR 1,08/12/2025,21:00,Placement Group,Emelec,Macara,0,2,[],"[45, 66]",bet365,2.88,2.05,4.0,bet365,2.05,3.3,3.25,bet365,1.5,2.5,bet365,3.4,1.3,bet365,10.0,1.06,bet365,1.08,8.0,bet365,1.44,2.63,bet365,2.35,1.57,bet365,4.33,1.2,bet365,10.0,1.06,bet365,2.0,1.73,bet365,1.33,1.33,1.7,bet365,8.0,bet365,8.0,bet365,15.0,bet365,41.0,bet365,6.5,bet365,6.5,bet365,12.0,bet365,29.0,bet365,9.5,bet365,9.5,bet365,19.0,bet365,41.0,bet365,19.0,bet365,21.0,bet365,34.0,bet365,67.0,1xBet,8.8,1.03,1xBet,9.17,1.04,bet365,4.25,1.21,bet365,3.45,1.3,bet365,2.1,1.7,bet365,1.35,3.1,bet365,1.11,6.6,1xBet,1.03,7.3,,0.0,0.0,,0.0,0.0,BetEsporte,23.0,9.8,1.04,Estrelabet,8.5,5.0,1.2,bet365,4.33,3.75,1.7,Estrelabet,1.25,4.5,8.0,BetEsporte,1.07,8.0,19.0,BetEsporte,1.01,11.0,35.0,0.98,1.3,0.23,1.61,0.79,0.45,1.61,0.23,-0.39,0.23,0.56,0.44,0.79,0.74,0.48,0.31,0.59,0.48,0.0,0.0,0.31,0.2,18.0,11.0,3.0,5.0,11.0,3.0,4.0,3.0,7.0,5.0,11.0,6.0,0.0,1.0,0.0,0.0,35.0,12.0,18.0,0.0,13.0,10.0,18.0,17.0,10.0,13.0,4.0,4.0,1.0,0.0,3.0,1.0,2.0,3.0,0.58,0.69,45.0,50.0,10.0,51.0,11.0,10.0,0.0,0.0,0.0,0.0,0.24,0.39,0.2,0.48,0.37,0.24,0.63,0.37,4.0,4.0,2.0,1.0,2.0,1.0,0.0,1.0,6.0,0.0,1.0,2.0,5.0,7.0,2.0,0.0,0.0,2.0,0.74,0.91,0.03,1.13,0.42,0.21,0.49,0.51,14.0,7.0,1.0,4.0,9.0,2.0,0.0,0.0,12.0,0.0,3.0,2.0,,,5.0,6.0,1.0,1.0,2.0,1.0
fuFaH2pT,ECUADOR,2025,Liga Pro 2025,ECUADOR 1,07/12/2025,18:30,Championship Group,Barcelona SC,U. Catolica,1,1,[9],[33],bet365,2.6,2.3,4.0,bet365,1.96,3.5,3.5,bet365,1.33,3.25,bet365,2.63,1.44,bet365,6.5,1.11,bet365,1.04,13.0,bet365,1.22,4.0,bet365,1.75,2.05,bet365,2.75,1.4,bet365,5.5,1.14,bet365,1.67,2.1,bet365,1.29,1.29,1.8,bet365,12.0,bet365,12.0,bet365,19.0,bet365,41.0,bet365,8.5,bet365,7.0,bet365,13.0,bet365,26.0,bet365,10.0,bet365,9.0,bet365,13.0,bet365,34.0,bet365,19.0,bet365,15.0,bet365,23.0,bet365,41.0,bet365,7.0,1.1,bet365,6.8,1.11,bet365,3.55,1.27,bet365,2.85,1.4,bet365,2.03,1.78,bet365,1.33,3.3,bet365,1.12,6.25,1xBet,1.1,6.88,,0.0,0.0,,0.0,0.0,Estrelabet,13.0,7.5,1.06,Estrelabet,6.33,5.0,1.26,bet365,3.6,4.0,1.8,Estrelabet,1.25,4.75,7.0,Estrelabet,1.05,7.5,16.0,BetEsporte,1.01,11.0,30.0,1.25,0.64,0.73,0.84,1.76,0.46,0.84,0.73,-0.16,-0.27,0.46,0.54,0.83,0.84,0.39,0.47,0.75,0.77,0.0,0.0,0.38,0.19,15.0,10.0,5.0,4.0,6.0,5.0,4.0,1.0,12.0,5.0,3.0,5.0,2.0,1.0,0.0,0.0,29.0,15.0,4.0,3.0,11.0,10.0,12.0,23.0,10.0,11.0,3.0,4.0,,,1.0,4.0,3.0,4.0,0.71,0.78,29.0,33.0,20.0,18.0,10.0,7.0,0.0,0.0,1.0,0.0,0.98,0.45,0.64,0.78,1.49,0.18,0.46,0.54,9.0,5.0,3.0,2.0,3.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,6.0,4.0,0.0,2.0,1.0,2.0,0.27,0.19,0.09,0.06,0.27,0.28,0.47,0.53,6.0,5.0,2.0,2.0,3.0,2.0,0.0,0.0,2.0,2.0,1.0,2.0,,,4.0,7.0,1.0,2.0,2.0,2.0
Ktyg9smo,ECUADOR,2025,Liga Pro 2025,ECUADOR 1,07/12/2025,16:00,Placement Group,EL Nacional,Aucas,3,1,"[18, 60, 76]",[45],bet365,6.0,2.38,2.05,bet365,5.25,4.2,1.49,Betfair,1.3,3.2,Betfair,2.63,1.44,Betfair,6.0,1.1,Betfair,1.01,11.0,Betfair,1.2,4.0,bet365,1.75,2.05,Betfair,2.88,1.36,Betfair,5.5,1.11,bet365,1.83,1.83,bet365,2.38,1.22,1.17,bet365,13.0,bet365,7.0,bet365,7.5,bet365,11.0,bet365,15.0,bet365,8.5,bet365,8.5,bet365,13.0,bet365,29.0,bet365,17.0,bet365,19.0,bet365,26.0,bet365,51.0,bet365,41.0,bet365,41.0,bet365,51.0,,0.0,0.0,,0.0,0.0,1xBet,9.5,1.03,1xBet,8.4,1.04,Superbet.br,4.3,1.14,Betano.br,2.42,1.55,bet365,1.9,1.9,Betano.br,1.53,2.45,Estrelabet,1.23,3.5,Superbet.br,1.15,4.15,BetEsporte,45.0,11.0,1.01,BetEsporte,30.0,10.0,1.02,Estrelabet,12.0,6.0,1.11,Estrelabet,2.3,3.5,2.33,Estrelabet,1.44,4.25,4.5,Estrelabet,1.14,6.33,8.5,1.91,2.01,2.44,2.26,0.3,2.16,2.26,2.44,1.26,-0.56,0.41,0.59,0.62,0.73,0.18,0.51,0.41,0.62,0.0,1.0,0.4,0.38,11.0,17.0,5.0,7.0,3.0,5.0,3.0,5.0,7.0,15.0,4.0,2.0,3.0,3.0,0.0,1.0,16.0,20.0,0.0,8.0,14.0,9.0,19.0,23.0,9.0,14.0,3.0,2.0,,,1.0,2.0,6.0,2.0,0.79,0.55,44.0,46.0,30.0,20.0,8.0,9.0,0.0,0.0,0.0,0.0,0.23,1.64,0.61,1.33,0.11,1.65,0.48,0.52,4.0,13.0,2.0,4.0,1.0,4.0,1.0,2.0,0.0,6.0,1.0,1.0,3.0,7.0,0.0,1.0,3.0,1.0,1.68,0.37,1.83,0.93,0.19,0.51,0.34,0.66,7.0,4.0,3.0,3.0,2.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,,,6.0,7.0,1.0,1.0,3.0,1.0
QN5VBt8j,ECUADOR,2025,Liga Pro 2025,ECUADOR 1,06/12/2025,19:00,Championship Group,Ind. del Valle,Libertad,1,1,[45],[41],bet365,1.73,2.63,8.0,bet365,1.3,4.75,9.0,bet365,1.29,3.5,bet365,2.25,1.57,bet365,5.5,1.14,bet365,1.03,15.0,bet365,1.18,4.5,bet365,1.62,2.25,bet365,2.5,1.5,bet365,4.33,1.2,bet365,1.91,1.8,bet365,1.07,1.18,3.25,bet365,15.0,bet365,23.0,bet365,41.0,bet365,101.0,bet365,8.0,bet365,9.5,bet365,26.0,bet365,51.0,bet365,7.0,bet365,9.0,bet365,21.0,bet365,51.0,bet365,8.5,bet365,11.0,bet365,26.0,bet365,51.0,bet365,3.3,1.33,bet365,2.6,1.48,bet365,1.93,1.88,bet365,1.48,2.6,bet365,1.33,3.3,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Estrelabet,5.0,5.0,1.33,bet365,3.1,4.0,1.91,bet365,1.91,4.0,3.25,BetEsporte,1.07,8.2,21.0,BetEsporte,1.01,11.0,40.0,,0.0,0.0,0.0,1.77,0.36,0.88,0.06,1.25,0.77,0.06,0.88,-0.94,-0.12,0.57,0.43,0.85,0.71,0.62,0.4,0.74,0.57,0.0,0.0,0.24,0.4,20.0,7.0,5.0,1.0,8.0,5.0,7.0,1.0,14.0,5.0,6.0,2.0,5.0,0.0,1.0,0.0,29.0,13.0,13.0,3.0,12.0,12.0,16.0,15.0,12.0,12.0,2.0,4.0,,,4.0,3.0,0.0,4.0,0.69,0.7,51.0,54.0,20.0,27.0,7.0,6.0,0.0,1.0,0.0,0.0,1.19,0.17,0.88,0.06,0.91,0.2,0.65,0.35,12.0,5.0,5.0,1.0,3.0,3.0,4.0,0.0,10.0,1.0,0.0,2.0,6.0,4.0,1.0,1.0,0.0,4.0,0.58,0.19,0.0,0.0,0.34,0.57,0.49,0.51,8.0,2.0,0.0,0.0,5.0,2.0,1.0,0.0,3.0,2.0,2.0,2.0,,,6.0,8.0,3.0,2.0,0.0,0.0
bDLjJOFG,ECUADOR,2025,Liga Pro 2025,ECUADOR 1,06/12/2025,19:00,Championship Group,Orense,LDU Quito,2,1,"[31, 46]",[7],bet365,4.0,2.1,2.75,bet365,3.6,3.2,2.01,bet365,1.4,2.75,bet365,3.0,1.36,bet365,8.0,1.08,bet365,1.06,10.0,bet365,1.33,3.25,bet365,2.08,1.73,bet365,3.75,1.25,bet365,8.0,1.08,bet365,1.8,1.91,bet365,1.73,1.36,1.29,bet365,9.0,bet365,7.5,bet365,9.5,bet365,19.0,bet365,11.0,bet365,6.0,bet365,9.0,bet365,17.0,bet365,19.0,bet365,13.0,bet365,15.0,bet365,29.0,bet365,41.0,bet365,29.0,bet365,41.0,bet365,51.0,,0.0,0.0,,0.0,0.0,1xBet,8.48,1.07,bet365,7.0,1.1,bet365,3.55,1.27,bet365,1.75,2.05,bet365,1.35,3.1,bet365,1.24,3.9,1xBet,1.08,8.05,1xBet,1.05,8.8,BetEsporte,35.0,11.0,1.01,BetEsporte,19.0,8.4,1.07,Estrelabet,8.5,5.0,1.2,bet365,1.73,4.0,4.0,Estrelabet,1.22,5.0,7.5,Estrelabet,1.05,8.0,14.0,1.21,0.85,0.76,0.55,0.54,1.71,0.55,0.76,0.55,-0.24,0.41,0.59,0.75,0.79,0.46,0.41,0.64,0.6,0.0,0.0,0.36,0.39,12.0,15.0,3.0,7.0,6.0,6.0,3.0,2.0,10.0,9.0,2.0,6.0,2.0,0.0,1.0,1.0,19.0,29.0,2.0,7.0,20.0,10.0,17.0,20.0,10.0,20.0,2.0,3.0,,,1.0,3.0,7.0,2.0,0.75,0.77,55.0,43.0,43.0,16.0,8.0,9.0,1.0,0.0,0.0,0.0,0.89,0.31,0.71,0.05,0.4,0.41,0.53,0.47,8.0,5.0,2.0,1.0,4.0,4.0,1.0,0.0,1.0,1.0,0.0,2.0,5.0,14.0,1.0,0.0,1.0,1.0,0.32,0.54,0.05,0.5,0.14,1.3,0.28,0.72,4.0,10.0,1.0,6.0,2.0,2.0,1.0,0.0,1.0,6.0,2.0,1.0,,,5.0,6.0,0.0,3.0,6.0,1.0
82HmVO94,ECUADOR,2025,Liga Pro 2025,ECUADOR 1,05/12/2025,21:00,Placement Group,Dep. Cuenca,Delfin,0,0,[],[],Betfair,1.4,3.6,9.0,bet365,1.13,7.5,12.0,Betfair,1.13,5.5,Betfair,1.67,2.1,Betfair,3.2,1.3,,0.0,0.0,Betfair,1.03,9.0,bet365,1.25,4.0,Betfair,1.57,2.25,Betfair,2.25,1.57,bet365,2.2,1.62,bet365,1.05,1.1,5.0,bet365,34.0,bet365,41.0,bet365,67.0,bet365,151.0,bet365,15.0,bet365,17.0,bet365,34.0,bet365,67.0,bet365,7.0,bet365,11.0,bet365,23.0,bet365,51.0,bet365,9.0,bet365,10.0,bet365,21.0,bet365,51.0,1xBet,2.11,1.73,1xBet,1.73,2.11,1xBet,1.5,2.58,1xBet,1.23,4.14,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,1.2,0.39,0.29,0.38,1.17,0.29,0.38,0.29,0.38,-0.71,0.62,0.38,0.83,0.73,0.59,0.44,0.67,0.53,0.0,0.0,0.35,0.29,19.0,7.0,3.0,4.0,12.0,2.0,4.0,1.0,13.0,6.0,6.0,1.0,1.0,0.0,0.0,0.0,26.0,15.0,8.0,4.0,11.0,11.0,31.0,25.0,11.0,11.0,0.0,3.0,,,2.0,0.0,4.0,3.0,0.76,0.82,46.0,42.0,21.0,37.0,13.0,10.0,0.0,0.0,0.0,0.0,0.74,0.04,0.28,0.0,0.47,0.04,0.61,0.39,9.0,1.0,2.0,0.0,6.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,4.0,3.0,0.0,0.0,0.0,2.0,0.46,0.35,0.01,0.38,0.7,0.25,0.63,0.37,10.0,6.0,1.0,4.0,6.0,2.0,1.0,0.0,4.0,2.0,0.0,2.0,,,7.0,8.0,2.0,0.0,4.0,1.0
UeULGPfB,ECUADOR,2025,Liga Pro 2025,ECUADOR 1,30/11/2025,20:00,Placement Group,Delfin,Emelec,0,1,[],[53],bet365,5.0,2.2,2.3,bet365,4.5,3.4,1.71,Betfair,1.36,2.88,Betfair,2.88,1.36,Betfair,7.5,1.06,Betfair,1.03,9.0,Betfair,1.29,3.3,bet365,2.1,1.7,Betfair,3.6,1.25,Betfair,7.5,1.06,Betfair,1.87,1.8,bet365,2.0,1.3,1.18,bet365,8.5,bet365,6.5,bet365,8.0,bet365,15.0,bet365,11.0,bet365,6.5,bet365,9.0,bet365,15.0,bet365,21.0,bet365,15.0,bet365,17.0,bet365,29.0,bet365,51.0,bet365,41.0,bet365,41.0,bet365,51.0,,0.0,0.0,,0.0,0.0,1xBet,9.2,1.03,1xBet,9.09,1.04,Superbet.br,4.1,1.19,bet365,2.0,1.8,Betano.br,1.6,2.3,Superbet.br,1.31,3.2,1xBet,1.12,6.24,1xBet,1.09,7.39,BetEsporte,45.0,11.0,1.01,BetEsporte,28.0,9.6,1.03,BetEsporte,11.0,5.6,1.18,BetEsporte,1.91,3.55,3.05,BetEsporte,1.33,5.0,6.4,BetEsporte,1.09,8.0,14.0,0.69,1.15,0.13,0.58,0.57,1.05,0.58,0.13,-0.42,0.13,0.52,0.48,0.81,0.81,0.46,0.45,0.65,0.66,0.0,2.0,0.21,0.13,10.0,9.0,4.0,4.0,5.0,5.0,1.0,0.0,4.0,5.0,6.0,4.0,0.0,0.0,1.0,1.0,11.0,26.0,2.0,7.0,22.0,13.0,13.0,20.0,13.0,22.0,2.0,2.0,,,2.0,5.0,3.0,4.0,0.63,0.71,53.0,46.0,35.0,25.0,1.0,6.0,0.0,0.0,0.0,0.0,0.07,1.08,0.09,0.46,0.07,0.93,0.45,0.55,3.0,5.0,2.0,2.0,1.0,3.0,0.0,0.0,2.0,2.0,,,7.0,7.0,2.0,1.0,2.0,2.0,0.62,0.07,0.04,0.12,0.5,0.12,0.59,0.41,7.0,4.0,2.0,2.0,4.0,2.0,0.0,0.0,0.0,5.0,2.0,2.0,,,6.0,15.0,0.0,4.0,1.0,2.0
lbpNE3PN,ECUADOR,2025,Liga Pro 2025,ECUADOR 1,30/11/2025,17:30,Placement Group,Macara,EL Nacional,2,0,"[62, 79]",[],bet365,1.91,2.5,6.5,bet365,1.39,4.33,7.0,Betfair,1.29,3.25,Betfair,2.5,1.5,Betfair,6.0,1.11,Betfair,1.01,13.0,Betfair,1.17,4.5,bet365,1.67,2.15,Betfair,2.75,1.4,Betfair,5.2,1.13,Betfair,1.83,1.83,bet365,1.1,1.2,2.75,bet365,13.0,bet365,19.0,bet365,41.0,bet365,81.0,bet365,7.5,bet365,8.5,bet365,21.0,bet365,51.0,bet365,7.0,bet365,8.5,bet365,19.0,bet365,51.0,bet365,9.5,bet365,12.0,bet365,26.0,bet365,51.0,Superbet.br,3.65,1.24,Estrelabet,2.8,1.35,Betano.br,2.12,1.7,Betano.br,1.65,2.2,Superbet.br,1.39,2.77,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Estrelabet,6.66,5.5,1.22,Estrelabet,3.5,4.0,1.62,Estrelabet,2.0,3.5,2.75,Estrelabet,1.07,6.66,15.0,BetEsporte,1.01,11.0,35.0,,0.0,0.0,0.0,1.61,0.74,1.45,1.38,0.88,0.74,1.38,1.45,1.38,-0.55,0.59,0.41,0.79,0.74,0.5,0.34,0.62,0.59,0.0,0.0,0.29,0.36,20.0,10.0,8.0,3.0,8.0,3.0,4.0,4.0,8.0,8.0,12.0,2.0,2.0,0.0,1.0,0.0,19.0,17.0,8.0,7.0,12.0,14.0,10.0,15.0,14.0,12.0,2.0,4.0,0.0,1.0,1.0,1.0,3.0,6.0,0.93,0.69,39.0,40.0,20.0,18.0,6.0,17.0,0.0,0.0,0.0,0.0,0.46,0.49,0.39,1.38,0.27,0.52,0.57,0.43,8.0,6.0,2.0,3.0,4.0,0.0,0.0,0.0,5.0,3.0,2.0,2.0,3.0,4.0,0.0,1.0,3.0,2.0,1.15,0.25,1.06,0.0,0.61,0.22,0.61,0.39,12.0,4.0,6.0,0.0,4.0,3.0,2.0,0.0,3.0,4.0,0.0,2.0,,,11.0,8.0,1.0,0.0,0.0,4.0
