Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
CKXYWWms,ISRAEL,2022-2023,Ligat Ha Al 2022 2023,ISRAEL 1,08/05/2023,14:30,Championship Group,Maccabi Haifa,Maccabi Tel Aviv,3,1,"[38, 50, 61]",[14],Betfair,2.5,2.1,4.0,Betfair,1.91,3.2,3.5,Betano.br,1.38,2.8,Betano.br,2.57,1.44,Betano.br,5.6,1.11,Betfair,1.02,10.0,Betfair,1.22,3.8,Betfair,1.75,1.95,Betfair,3.0,1.33,Betfair,6.5,1.08,bet365,1.67,2.1,Betfair,1.22,1.25,1.73,Betfair,9.0,Betfair,10.0,Betfair,15.0,Betfair,36.0,Betfair,6.5,Betfair,5.5,Betfair,10.0,Betfair,21.0,Betfair,8.5,Betfair,6.5,Betfair,10.0,Betfair,26.0,Betfair,14.0,Betfair,12.0,Betfair,19.0,Betfair,41.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,16.5,9.25,1.09,Betano.br,8.0,5.6,1.27,Betano.br,3.7,3.75,1.8,Betano.br,1.3,5.1,7.9,Betano.br,1.09,8.75,17.5,,0.0,0.0,0.0,,,,,,,,,,,0.55,0.45,,,,,,,,,,,11.0,10.0,5.0,3.0,6.0,7.0,,,,,,,,,,,,,6.0,5.0,,,,,,,4.0,4.0,0.0,1.0,,,2.0,2.0,,,,,,,,,,,,,,,,,,,0.69,0.31,8.0,2.0,3.0,1.0,5.0,1.0,,,3.0,4.0,1.0,1.0,,,,,0.0,2.0,,,,,,,0.41,0.59,3.0,8.0,2.0,2.0,1.0,6.0,,,3.0,1.0,3.0,3.0,0.0,1.0,,,,,2.0,0.0
6we6yDuQ,ISRAEL,2022-2023,Ligat Ha Al 2022 2023,ISRAEL 1,08/05/2023,14:30,Championship Group,SC Ashdod,H. Beer Sheva,0,1,[],[7],Betfair,5.5,2.1,2.1,Betfair,5.0,3.75,1.5,Betano.br,1.42,2.65,Betano.br,2.87,1.37,Betano.br,6.3,1.09,Betfair,1.03,9.0,Betfair,1.29,3.3,Betfair,1.95,1.75,Betfair,3.6,1.25,Betfair,7.5,1.06,bet365,2.0,1.73,Betfair,2.3,1.2,1.1,Betfair,8.0,Betfair,5.0,Betfair,6.0,Betfair,9.5,Betfair,11.0,Betfair,6.0,Betfair,6.5,Betfair,10.0,Betfair,23.0,Betfair,14.0,Betfair,14.0,Betfair,21.0,Betfair,81.0,Betfair,46.0,Betfair,51.0,Betfair,81.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,Betano.br,14.5,6.6,1.15,Betano.br,2.45,3.45,2.52,Betano.br,1.5,4.45,5.0,Betano.br,1.17,7.0,10.5,,,,,,,,,,,0.51,0.49,,,,,,,,,,,13.0,8.0,5.0,3.0,8.0,5.0,,,,,,,,,,,,,3.0,1.0,,,,,,,3.0,2.0,,,,,2.0,5.0,,,,,,,,,,,,,,,,,,,0.48,0.52,4.0,4.0,1.0,2.0,3.0,2.0,,,1.0,0.0,1.0,0.0,,,,,1.0,1.0,,,,,,,0.55,0.45,9.0,4.0,4.0,1.0,5.0,3.0,,,2.0,1.0,2.0,2.0,,,,,,,1.0,4.0
jBWxWj3m,ISRAEL,2022-2023,Ligat Ha Al 2022 2023,ISRAEL 1,07/05/2023,14:15,Championship Group,Hapoel Jerusalem,Netanya,1,4,[8],"[2, 21, 54, 87]",Betfair,3.5,2.0,3.0,Betfair,2.88,3.0,2.3,Betano.br,1.5,2.42,Betano.br,3.1,1.32,Betano.br,6.9,1.07,Betfair,1.05,8.0,Betfair,1.3,3.2,Betfair,2.0,1.73,Betfair,3.8,1.22,Betfair,7.5,1.06,bet365,1.91,1.8,Betfair,1.5,1.3,1.33,Betfair,7.0,Betfair,6.5,Betfair,9.5,Betfair,19.0,Betfair,7.5,Betfair,5.0,Betfair,8.0,Betfair,15.0,Betfair,12.0,Betfair,8.5,Betfair,11.0,Betfair,26.0,Betfair,26.0,Betfair,19.0,Betfair,26.0,Betfair,51.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,Betano.br,16.0,7.8,1.11,Betano.br,6.7,4.45,1.4,Betano.br,1.57,3.9,5.0,Betano.br,1.18,6.5,11.75,Betano.br,1.05,11.0,23.0,,,,,,,,,,,0.46,0.54,,,,,,,,,,,7.0,14.0,3.0,8.0,4.0,6.0,,,,,,,,,,,,,3.0,1.0,,,,,,,0.0,3.0,,,,,4.0,2.0,,,,,,,,,,,,,,,,,,,0.47,0.53,5.0,4.0,3.0,3.0,2.0,1.0,,,3.0,0.0,0.0,1.0,,,,,1.0,2.0,,,,,,,0.45,0.55,2.0,10.0,0.0,5.0,2.0,5.0,,,0.0,1.0,0.0,2.0,,,,,,,3.0,0.0
byCvtml9,ISRAEL,2022-2023,Ligat Ha Al 2022 2023,ISRAEL 1,06/05/2023,12:45,Relegation Group,Beitar Jerusalem,Maccabi Bnei Raina,0,1,[],[55],Betfair,3.4,2.1,2.88,Betfair,2.8,3.1,2.3,Betano.br,1.42,2.67,Betano.br,2.72,1.4,Betano.br,5.9,1.1,Betfair,1.02,9.0,Betfair,1.22,3.8,Betfair,1.8,1.91,Betfair,3.2,1.3,Betfair,6.5,1.08,bet365,1.67,2.1,Betfair,1.53,1.3,1.36,Betfair,9.0,Betfair,7.5,Betfair,10.0,Betfair,18.0,Betfair,8.5,Betfair,5.5,Betfair,7.5,Betfair,14.0,Betfair,12.0,Betfair,8.5,Betfair,10.0,Betfair,20.0,Betfair,26.0,Betfair,18.0,Betfair,23.0,Betfair,46.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,Betano.br,14.5,7.8,1.12,Betano.br,6.4,4.55,1.4,Betano.br,1.6,3.95,4.65,Betano.br,1.19,6.4,10.5,Betano.br,1.05,10.5,22.0,,,,,,,,,,,0.62,0.38,,,,,,,,,,,9.0,12.0,3.0,5.0,6.0,7.0,,,,,,,,,,,,,6.0,2.0,,,,,,,3.0,3.0,,,,,4.0,3.0,,,,,,,,,,,,,,,,,,,0.66,0.34,6.0,7.0,2.0,3.0,4.0,4.0,,,3.0,0.0,,,,,,,3.0,2.0,,,,,,,0.59,0.41,3.0,5.0,1.0,2.0,2.0,3.0,,,3.0,2.0,3.0,3.0,,,,,,,1.0,1.0
jB8Ws9Jd,ISRAEL,2022-2023,Ligat Ha Al 2022 2023,ISRAEL 1,06/05/2023,12:45,Relegation Group,Hapoel Tel Aviv,Kiryat Shmona,2,2,"[57, 78]","[15, 24]",Betfair,3.1,2.0,3.4,Betfair,2.4,3.1,2.63,Betano.br,1.44,2.62,Betano.br,2.82,1.38,Betano.br,6.2,1.09,Betfair,1.03,9.0,Betfair,1.29,3.3,Betfair,1.95,1.75,Betfair,3.6,1.25,Betfair,7.0,1.07,bet365,1.73,2.0,Betfair,1.4,1.3,1.44,Betfair,7.5,Betfair,7.5,Betfair,11.0,Betfair,23.0,Betfair,7.0,Betfair,5.0,Betfair,8.0,Betfair,18.0,Betfair,10.0,Betfair,7.5,Betfair,11.0,Betfair,26.0,Betfair,21.0,Betfair,15.0,Betfair,23.0,Betfair,46.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,24.0,11.5,1.04,Betano.br,12.5,7.0,1.15,Betano.br,5.4,4.2,1.5,Betano.br,1.5,4.2,5.5,Betano.br,1.15,7.0,12.5,,0.0,0.0,0.0,,,,,,,,,,,0.45,0.55,,,,,,,,,,,7.0,11.0,2.0,5.0,5.0,6.0,,,,,,,,,,,,,7.0,4.0,,,,,,,4.0,4.0,1.0,0.0,,,3.0,0.0,,,,,,,,,,,,,,,,,,,0.38,0.62,3.0,6.0,0.0,3.0,3.0,3.0,,,3.0,0.0,0.0,1.0,,,,,1.0,0.0,,,,,,,0.51,0.49,4.0,5.0,2.0,2.0,2.0,3.0,,,4.0,4.0,4.0,3.0,,,,,,,2.0,0.0
4ECzsTY2,ISRAEL,2022-2023,Ligat Ha Al 2022 2023,ISRAEL 1,06/05/2023,12:45,Relegation Group,Sakhnin,Hapoel Hadera,2,3,"[8, 61]","[43, 73, 79]",Betfair,4.0,2.0,2.75,Betfair,3.5,2.9,2.1,Betano.br,1.52,2.37,Betano.br,3.15,1.31,Betano.br,7.0,1.07,Betfair,1.05,8.0,Betfair,1.33,3.0,Betfair,2.1,1.65,Betfair,4.0,1.2,Betfair,8.0,1.05,bet365,1.91,1.8,Betfair,1.62,1.33,1.25,Betfair,6.5,Betfair,6.0,Betfair,8.0,Betfair,15.0,Betfair,8.0,Betfair,5.0,Betfair,7.0,Betfair,14.0,Betfair,14.0,Betfair,10.0,Betfair,12.0,Betfair,23.0,Betfair,36.0,Betfair,26.0,Betfair,34.0,Betfair,67.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,Betano.br,20.0,9.0,1.08,Betano.br,8.75,4.9,1.29,Betano.br,1.75,3.6,4.1,Betano.br,1.23,5.8,9.5,Betano.br,1.07,10.0,19.5,,,,,,,,,,,0.44,0.56,,,,,,,,,,,2.0,14.0,2.0,7.0,0.0,7.0,,,,,,,,,,,,,3.0,5.0,,,,,,,,,,,,,4.0,0.0,,,,,,,,,,,,,,,,,,,0.45,0.55,1.0,4.0,1.0,2.0,0.0,2.0,,,2.0,2.0,,,,,,,1.0,0.0,,,,,,,0.43,0.57,1.0,10.0,1.0,5.0,0.0,5.0,,,1.0,3.0,,,,,,,,,3.0,0.0
xSAru73F,ISRAEL,2022-2023,Ligat Ha Al 2022 2023,ISRAEL 1,06/05/2023,10:30,Relegation Group,Hapoel Haifa,Nes Tziona,0,1,[],[85],Betfair,1.91,2.4,5.5,Betfair,1.4,4.33,5.5,Betano.br,1.31,3.15,Betano.br,2.37,1.52,Betano.br,4.9,1.14,Betfair,1.01,13.0,Betfair,1.14,4.8,Betfair,1.57,2.25,Betfair,2.55,1.45,Betfair,4.8,1.14,bet365,1.73,2.0,Betfair,1.1,1.17,2.6,Betfair,13.0,Betfair,15.0,Betfair,31.0,Betfair,81.0,Betfair,6.5,Betfair,7.0,Betfair,15.0,Betfair,36.0,Betfair,6.5,Betfair,6.0,Betfair,11.0,Betfair,36.0,Betfair,9.0,Betfair,8.5,Betfair,15.0,Betfair,41.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,8.75,6.6,1.21,Betano.br,4.35,4.5,1.57,Betano.br,2.37,3.75,2.5,Betano.br,1.17,6.6,12.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.49,0.51,,,,,,,,,,,14.0,11.0,6.0,5.0,8.0,6.0,,,,,,,,,,,,,7.0,6.0,,,,,,,2.0,0.0,,,,,4.0,6.0,,,,,,,,,,,,,,,,,,,0.5,0.5,6.0,4.0,2.0,1.0,4.0,3.0,,,2.0,3.0,,,,,,,1.0,2.0,,,,,,,0.48,0.52,8.0,7.0,4.0,4.0,4.0,3.0,,,5.0,3.0,2.0,0.0,,,,,,,3.0,4.0
hzi2xgQJ,ISRAEL,2022-2023,Ligat Ha Al 2022 2023,ISRAEL 1,01/05/2023,14:30,Championship Group,H. Beer Sheva,Maccabi Haifa,2,1,"[16, 90]",[11],bet365,3.1,2.25,3.2,bet365,2.5,3.4,2.55,bet365,1.33,3.25,bet365,2.63,1.44,bet365,7.0,1.1,bet365,1.04,13.0,bet365,1.22,4.0,bet365,1.8,2.0,bet365,2.75,1.4,bet365,5.5,1.14,bet365,1.62,2.2,bet365,1.5,1.3,1.5,bet365,13.0,bet365,10.0,bet365,15.0,bet365,26.0,bet365,10.0,bet365,6.5,bet365,10.0,bet365,19.0,bet365,13.0,bet365,10.0,bet365,12.0,bet365,26.0,bet365,26.0,bet365,19.0,bet365,26.0,bet365,41.0,,0.0,0.0,,0.0,0.0,bet365,5.0,1.17,bet365,4.15,1.22,bet365,2.5,1.5,bet365,1.5,2.5,bet365,1.22,4.15,bet365,1.17,5.0,,0.0,0.0,,0.0,0.0,Betano.br,22.0,11.0,1.05,Betano.br,11.0,6.8,1.17,bet365,4.75,4.33,1.5,bet365,1.5,4.5,5.0,Betano.br,1.15,7.1,12.0,,0.0,0.0,0.0,,,,,,,,,,,0.44,0.56,,,,,,,,,,,9.0,5.0,5.0,2.0,4.0,3.0,,,,,,,,,,,,,6.0,4.0,,,,,,,4.0,5.0,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,0.44,0.56,2.0,1.0,1.0,1.0,1.0,0.0,,,0.0,3.0,1.0,1.0,,,,,0.0,0.0,,,,,,,0.44,0.56,7.0,4.0,4.0,1.0,3.0,3.0,,,6.0,1.0,3.0,4.0,,,,,,,1.0,3.0
x4hGuJxT,ISRAEL,2022-2023,Ligat Ha Al 2022 2023,ISRAEL 1,30/04/2023,14:15,Relegation Group,Sakhnin,Hapoel Tel Aviv,0,1,[],[18],bet365,4.75,2.1,2.5,bet365,4.2,3.4,1.8,bet365,1.44,2.63,bet365,3.0,1.36,bet365,9.0,1.07,bet365,1.06,10.0,bet365,1.33,3.25,bet365,2.05,1.75,bet365,3.75,1.25,bet365,8.0,1.08,bet365,1.91,1.8,bet365,1.95,1.3,1.22,bet365,9.0,bet365,6.5,bet365,8.0,bet365,15.0,bet365,11.0,bet365,6.5,bet365,8.5,bet365,15.0,bet365,21.0,bet365,15.0,bet365,17.0,bet365,29.0,bet365,51.0,bet365,41.0,bet365,41.0,bet365,51.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,bet365,4.1,1.23,bet365,2.0,1.85,bet365,1.5,2.5,bet365,1.32,3.3,bet365,1.12,6.25,bet365,1.1,7.0,,0.0,0.0,0.0,Betano.br,22.0,9.75,1.06,Betano.br,10.0,5.4,1.24,bet365,1.95,3.6,3.25,Betano.br,1.31,5.2,7.4,Betano.br,1.1,8.75,15.5,,,,,,,,,,,0.52,0.48,,,,,,,,,,,4.0,10.0,2.0,2.0,2.0,8.0,,,,,,,,,,,,,1.0,7.0,,,,,,,1.0,2.0,1.0,0.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,0.52,0.48,2.0,7.0,1.0,2.0,1.0,5.0,,,0.0,5.0,0.0,2.0,,,,,1.0,1.0,,,,,,,0.52,0.48,2.0,3.0,1.0,0.0,1.0,3.0,,,1.0,2.0,1.0,0.0,1.0,0.0,,,,,0.0,1.0
vDvrywop,ISRAEL,2022-2023,Ligat Ha Al 2022 2023,ISRAEL 1,30/04/2023,13:00,Relegation Group,Hapoel Hadera,Hapoel Haifa,1,2,[41],"[12, 78]",bet365,3.2,2.1,3.4,bet365,2.45,3.1,2.7,bet365,1.44,2.63,bet365,3.25,1.33,bet365,9.0,1.07,bet365,1.07,9.0,bet365,1.33,3.25,bet365,2.1,1.7,bet365,3.75,1.25,bet365,8.0,1.08,bet365,1.8,1.91,bet365,1.4,1.33,1.5,bet365,9.0,bet365,8.5,bet365,13.0,bet365,29.0,bet365,8.0,bet365,6.0,bet365,11.0,bet365,23.0,bet365,12.0,bet365,10.0,bet365,15.0,bet365,34.0,bet365,23.0,bet365,21.0,bet365,29.0,bet365,51.0,,0.0,0.0,,0.0,0.0,bet365,5.25,1.16,bet365,4.1,1.23,bet365,2.42,1.52,bet365,1.43,2.75,bet365,1.17,5.0,bet365,1.13,6.0,,0.0,0.0,,0.0,0.0,Betano.br,23.0,11.25,1.04,Betano.br,11.75,6.7,1.17,bet365,5.0,4.33,1.5,Betano.br,1.45,4.25,5.9,Betano.br,1.14,7.3,14.0,,0.0,0.0,0.0,,,,,,,,,,,0.36,0.64,,,,,,,,,,,12.0,12.0,3.0,4.0,9.0,8.0,,,,,,,,,,,,,3.0,9.0,,,,,,,1.0,3.0,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,0.37,0.63,5.0,6.0,2.0,2.0,3.0,4.0,,,1.0,7.0,1.0,1.0,,,,,1.0,1.0,,,,,,,0.35,0.65,7.0,6.0,1.0,2.0,6.0,4.0,,,2.0,2.0,0.0,2.0,,,,,,,1.0,1.0
vX2KD9mJ,ISRAEL,2022-2023,Ligat Ha Al 2022 2023,ISRAEL 1,29/04/2023,14:00,Championship Group,Maccabi Tel Aviv,Hapoel Jerusalem,2,1,"[21, 45]",[2],bet365,2.0,2.25,7.5,bet365,1.4,4.0,8.0,bet365,1.4,2.75,bet365,3.0,1.36,bet365,8.0,1.08,bet365,1.06,10.0,bet365,1.3,3.4,bet365,2.0,1.8,bet365,3.4,1.3,bet365,7.0,1.1,bet365,2.2,1.62,bet365,1.1,1.25,2.63,bet365,8.5,bet365,15.0,bet365,41.0,bet365,81.0,bet365,6.0,bet365,8.0,bet365,23.0,bet365,51.0,bet365,6.0,bet365,9.0,bet365,21.0,bet365,67.0,bet365,9.5,bet365,13.0,bet365,34.0,bet365,81.0,bet365,4.4,1.2,bet365,3.55,1.27,bet365,2.3,1.6,bet365,1.77,2.02,bet365,1.48,2.6,bet365,1.1,6.8,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,9.75,6.6,1.2,Betano.br,4.55,4.25,1.57,bet365,2.3,3.6,2.63,Betano.br,1.11,7.3,18.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.57,0.43,,,,,,,,,,,22.0,9.0,9.0,5.0,13.0,4.0,,,,,,,,,,,,,4.0,2.0,,,,,,,1.0,0.0,,,,,4.0,7.0,,,,,,,,,,,,,,,,,,,0.57,0.43,12.0,4.0,6.0,3.0,6.0,1.0,,,3.0,2.0,,,,,,,2.0,4.0,,,,,,,0.57,0.43,10.0,5.0,3.0,2.0,7.0,3.0,,,1.0,0.0,1.0,0.0,,,,,,,2.0,3.0
8nqnzc0j,ISRAEL,2022-2023,Ligat Ha Al 2022 2023,ISRAEL 1,29/04/2023,14:00,Relegation Group,Nes Tziona,Beitar Jerusalem,1,3,[75],"[69, 73, 81]",bet365,4.33,2.38,2.3,bet365,4.2,3.6,1.73,bet365,1.3,3.4,bet365,2.5,1.5,bet365,6.0,1.13,bet365,1.04,13.0,bet365,1.2,4.33,bet365,1.67,2.15,bet365,2.63,1.44,bet365,5.0,1.17,bet365,1.62,2.2,bet365,2.05,1.29,1.22,bet365,13.0,bet365,9.0,bet365,9.5,bet365,15.0,bet365,15.0,bet365,7.5,bet365,8.5,bet365,13.0,bet365,23.0,bet365,15.0,bet365,13.0,bet365,21.0,bet365,41.0,bet365,34.0,bet365,34.0,bet365,41.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,bet365,4.1,1.23,bet365,2.1,1.77,bet365,1.6,2.3,bet365,1.38,3.0,bet365,1.17,5.0,bet365,1.13,5.9,,0.0,0.0,0.0,Betano.br,18.0,9.25,1.08,Betano.br,8.5,5.5,1.27,bet365,2.05,4.0,3.0,Betano.br,1.35,5.2,6.3,Betano.br,1.12,8.25,13.0,,,,,,,,,,,0.44,0.56,,,,,,,,,,,17.0,17.0,10.0,9.0,7.0,8.0,,,,,,,,,,,,,6.0,7.0,,,,,,,1.0,1.0,,,,,6.0,9.0,,,,,,,,,,,,,,,,,,,0.42,0.58,7.0,9.0,5.0,3.0,2.0,6.0,,,2.0,3.0,0.0,1.0,,,,,3.0,5.0,,,,,,,0.46,0.54,10.0,8.0,5.0,6.0,5.0,2.0,,,4.0,4.0,1.0,0.0,,,,,,,3.0,4.0
